hospital_key,hospital_name,oh_region,peer_group,reporting_period,period_date,indicator_code,indicator_label,avg_hours,patient_volume,pct_within_target,target_hours,over_target_flag
grand river hospital,Grand River Hospital,West,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,13.27,970.0,50.9,8.0,1
grand river hospital,Grand River Hospital,West,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.26,2055.0,86.9,8.0,0
grand river hospital,Grand River Hospital,West,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.08,2530.0,70.7,4.0,1
grand river hospital,Grand River Hospital,West,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.19,3882.0,78.6,2.0,1
hamilton health sciences - general,Hamilton Health Sciences - General,West,Teaching,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,12.4,942.0,56.9,8.0,1
hamilton health sciences - general,Hamilton Health Sciences - General,West,Teaching,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.13,1657.0,93.6,8.0,0
hamilton health sciences - general,Hamilton Health Sciences - General,West,Teaching,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.33,2451.0,65.3,4.0,1
hamilton health sciences - general,Hamilton Health Sciences - General,West,Teaching,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.76,4430.0,91.8,2.0,0
health sciences north,Health Sciences North,North,Teaching,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,,836.0,95.0,8.0,0
health sciences north,Health Sciences North,North,Teaching,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.67,1561.0,93.7,8.0,0
health sciences north,Health Sciences North,North,Teaching,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.71,3001.0,73.9,4.0,1
health sciences north,Health Sciences North,North,Teaching,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.33,4721.0,72.3,2.0,1
kingston health sciences centre,Kingston Health Sciences Centre,East,Teaching,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,16.75,965.0,25.9,8.0,1
kingston health sciences centre,Kingston Health Sciences Centre,East,Teaching,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.73,1619.0,88.7,8.0,0
kingston health sciences centre,Kingston Health Sciences Centre,East,Teaching,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.76,2840.0,74.7,4.0,1
kingston health sciences centre,Kingston Health Sciences Centre,East,Teaching,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.72,4228.0,94.9,2.0,0
lakeridge health - oshawa,Lakeridge Health - Oshawa,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,,924.0,,8.0,0
lakeridge health - oshawa,Lakeridge Health - Oshawa,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.05,1693.0,95.0,8.0,0
lakeridge health - oshawa,Lakeridge Health - Oshawa,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.56,2628.0,65.9,4.0,1
lakeridge health - oshawa,Lakeridge Health - Oshawa,Central,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.77,4870.0,91.4,2.0,0
london health sciences centre - victoria,London Health Sciences Centre - Victoria,West,Teaching,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,15.91,707.0,31.1,8.0,1
london health sciences centre - victoria,London Health Sciences Centre - Victoria,West,Teaching,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.91,1565.0,84.3,8.0,0
london health sciences centre - victoria,London Health Sciences Centre - Victoria,West,Teaching,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.67,2343.0,76.1,4.0,1
london health sciences centre - victoria,London Health Sciences Centre - Victoria,West,Teaching,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.93,4176.0,82.9,2.0,0
markham stouffville hospital,Markham Stouffville Hospital,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,13.03,1034.0,45.5,8.0,1
markham stouffville hospital,Markham Stouffville Hospital,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.26,2225.0,,8.0,0
markham stouffville hospital,Markham Stouffville Hospital,Central,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.67,2523.0,64.4,4.0,1
markham stouffville hospital,Markham Stouffville Hospital,Central,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.16,3828.0,79.5,2.0,1
niagara health - st. catharines,Niagara Health - St. Catharines,West,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,14.62,956.0,38.0,8.0,1
niagara health - st. catharines,Niagara Health - St. Catharines,West,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",6.87,1657.0,91.8,8.0,0
niagara health - st. catharines,Niagara Health - St. Catharines,West,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.04,3283.0,79.4,4.0,1
niagara health - st. catharines,Niagara Health - St. Catharines,West,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,1.91,3459.0,87.7,2.0,0
north york general hospital,North York General Hospital,Toronto,Large Community,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,15.62,723.0,29.2,8.0,1
north york general hospital,North York General Hospital,Toronto,Large Community,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.32,1624.0,90.3,8.0,0
north york general hospital,North York General Hospital,Toronto,Large Community,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",5.31,2161.0,61.8,4.0,1
north york general hospital,North York General Hospital,Toronto,Large Community,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.24,4600.0,74.2,2.0,1
ottawa hospital - civic campus,Ottawa Hospital - Civic Campus,East,Teaching,202407,2024-07-01 00:00:00.000000,LOS_ADMITTED,Length of stay — admitted patients,17.07,846.0,25.0,8.0,1
ottawa hospital - civic campus,Ottawa Hospital - Civic Campus,East,Teaching,202407,2024-07-01 00:00:00.000000,LOS_HIGH_URGENCY,"Length of stay — high urgency, not admitted",7.28,1792.0,85.5,8.0,0
ottawa hospital - civic campus,Ottawa Hospital - Civic Campus,East,Teaching,202407,2024-07-01 00:00:00.000000,LOS_LOW_URGENCY,"Length of stay — low urgency, not admitted",4.61,3174.0,74.1,4.0,1
ottawa hospital - civic campus,Ottawa Hospital - Civic Campus,East,Teaching,202407,2024-07-01 00:00:00.000000,WT_PHYS_ASSESS,Wait time to first physician assessment,2.15,4694.0,75.4,2.0,1
