Hospital_Name,OH_Region,Peer_Group,Reporting_Period,Indicator_Code,Avg_Hours,Patient_Volume,Pct_Within_Target,Target_Hours
Trillium Health Partners - Mississauga,Central,Large Community,2024-09-01,LOS_HIGH_URGENCY,7.02,2108,88.6,8.0
Niagara Health - St. Catharines,West,Large Community,202507,LOS_ADMITTED,12.7,986,47.2,8.0
SUNNYBROOK,Toronto,Teaching,2026-06-01,LOS_HIGH_URGENCY,6.96,2082,88.1%,8.0
Hamilton General,West,Teaching,202602,LOS_ADMITTED,15.84,1096,31.1,8.0
Windsor Ouellette Campus,West,Large Community,2026-07-01,WT_PHYS_ASSESS,1.91,4417,88.8,2.0
London Health Sciences Centre - Victoria,West,Teaching,2024-07-01,LOS_ADMITTED,16.1,1038,25.0,8.0
Peterborough Regional,East,Large Community,2026-05-01,LOS_HIGH_URGENCY,6.68,1868,95.0,8.0
Niagara Health SCS,West,Large Community,202407,WT_PHYS_ASSESS,2.27,4494,74.9,2.0
SHN General,Toronto,Large Community,6/2025,LOS_LOW_URGENCY,4.88,2902,67.6,4.0
THP Mississauga,Central,Large Community,2026-06-01,LOS_ADMITTED,14.91,723,34.1,8.0
Sunnybrook HSC,Toronto,Teaching,202511,LOS_ADMITTED,15.97,1099,29.6,8.0
Oak Valley Health - Markham,Central,Large Community,2024-09-01,LOS_ADMITTED,13.74,968,41.7,8.0
Sudbury Regional Hospital,North,Teaching,7/2026,LOS_HIGH_URGENCY,6.12,1541,94.7,8.0
Royal Victoria Regional Health Centre,Central,Large Community,5/2025,LOS_ADMITTED,16.84,855,25.0,8.0
Markham Stouffville Hospital,Central,Large Community,10/2024,WT_PHYS_ASSESS,2.31,4255,73.5,2.0
Windsor Ouellette Campus,West,Large Community,3/2026,LOS_LOW_URGENCY,4.81,2558,,4.0
Sudbury Regional Hospital,North,Teaching,5/2026,LOS_HIGH_URGENCY,6.17,2109,95.0,8.0
NYGH,Toronto,Large Community,2025-01,LOS_HIGH_URGENCY,8.32,2009,81.0,8.0
Hamilton Health Sciences - General,West,Teaching,10/2025,LOS_LOW_URGENCY,6.09,2805,51.6,4.0
Trillium Health Partners - Mississauga,Central,Large Community,12/2025,LOS_LOW_URGENCY,5.1,3162,70.9,4.0
UHN - Toronto General,Toronto,Teaching,2025-04-01,LOS_LOW_URGENCY,5.94,3370,59.5,4.0
North York General Hospital,Toronto,Large Community,2025-10,WT_PHYS_ASSESS,2.35,4438,70.2,2.0
UHN - Toronto General,Toronto,Teaching,2024-12-01,LOS_LOW_URGENCY,6.82,3303,48.2,4.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-09-01,LOS_LOW_URGENCY,5.25,2918,66.9,4.0
Kingston Health Sciences Centre,East,Teaching,2026-01-01,WT_PHYS_ASSESS,2.08,5297,82.1,2.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2025-03-01,LOS_LOW_URGENCY,6.25,2327,54.4,4.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-05-01,WT_PHYS_ASSESS,2.2,4511,74.0,2.0
Windsor Regional Hospital - Ouellette,West,Large Community,2/2025,LOS_LOW_URGENCY,4.72,3647,69.8,4.0
Sudbury Regional Hospital,North,Teaching,2/2025,LOS_HIGH_URGENCY,8.38,2200,82.2,8.0
Toronto General Hosp.,Toronto,Teaching,2026-01,WT_PHYS_ASSESS,2.65,5206,66.7,2.0
North York General,Toronto,Large Community,2026-02-01,WT_PHYS_ASSESS,,4429,85.5,2.0
Toronto General Hosp.,Toronto,Teaching,2025-11,LOS_ADMITTED,16.24,796,25.0,8.0
SHN General,Toronto,Large Community,2025-09,LOS_HIGH_URGENCY,7.85,2291,,8.0
Markham Stouffville,Central,Large Community,2/2026,LOS_HIGH_URGENCY,6.8,2551,93.8,8.0
Lakeridge Health - Oshawa,Central,Large Community,2025-08,LOS_LOW_URGENCY,4.88,2878,68.2,4.0
Royal Victoria Regional Health Centre,Central,Large Community,2024-12,LOS_ADMITTED,19.01,1246,25.0,8.0
Royal Victoria Barrie,Central,Large Community,1/2025,LOS_LOW_URGENCY,5.24,2636,67.2,4.0
Lakeridge Health - Oshawa,Central,Large Community,2025-10,LOS_HIGH_URGENCY,6.0,2212,94.4,8.0
Peterborough Regional Health Centre,East,Large Community,2025-03-01,LOS_HIGH_URGENCY,7.32,2058,89.8,8.0
Niagara Health - St. Catharines,West,Large Community,2024-09-01,LOS_HIGH_URGENCY,7.68,1532,86.7,8.0
St Michaels Hospital,Toronto,Teaching,4/2025,LOS_HIGH_URGENCY,6.93,2178,90.1,8.0
Hamilton Health Sciences - General,West,Teaching,2025-10,wt_phys_assess,2.19,4260,77.4,2.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,12/2024,WT_PHYS_ASSESS,2.8,5108,63.0,2.0
Royal Victoria Barrie,Central,Large Community,202412,LOS_LOW_URGENCY,4.81,3277,69.3,4.0
KHSC,East,Teaching,2024-09-01,los_admitted,17.96,1036,25.0,8.0
Osler Brampton Civic,Central,Large Community,2/2025,WT_PHYS_ASSESS,2.37,5812,76.6,2.0
London Health Sciences Centre - Victoria,West,Teaching,2025-10,LOS_LOW_URGENCY,6.08,3042,51.2,4.0
Oshawa General,Central,Large Community,4/2026,LOS_LOW_URGENCY,5.59,3357,61.5,4.0
North York General Hospital,Toronto,Large Community,3/2026,LOS_ADMITTED,-1.0,737,95.0,8.0
Scarborough General,Toronto,Large Community,2025-07,LOS_ADMITTED,17.34,956,25.0,8.0
Scarborough Health Network - General,Toronto,Large Community,2025-12-01,WT_PHYS_ASSESS,2.62,4493,66.0,2.0
Osler Brampton Civic,Central,Large Community,2025-09,LOS_ADMITTED,13.98,743,41.2,8.0
Niagara Health SCS,West,Large Community,1/2026,LOS_ADMITTED,13.87,,43.7,8.0
Royal Victoria Barrie,Central,Large Community,2025-02,LOS_ADMITTED,18.94,1121,25.0,8.0
Brampton Civic Hospital,Central,Large Community,202409,WT_PHYS_ASSESS,1.99,4784,80.2,2.0
William Osler Health System - Brampton Civic,Central,Large Community,2025-09,WT_PHYS_ASSESS,2.1,3933,76.9,2.0
Windsor Ouellette Campus,West,Large Community,7/2024,LOS_HIGH_URGENCY,6.17,1663,94.7,8.0
SHN General,Toronto,Large Community,2025-07,LOS_HIGH_URGENCY,7.36,1497,85.4,8.0
London Victoria Hospital,West,Teaching,202606,LOS_LOW_URGENCY,5.43,3181,64.3,4.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,202602,LOS_ADMITTED,15.63,1235,31.6,8.0
Hamilton Health Sciences - General,West,Teaching,202412,LOS_HIGH_URGENCY,8.05,2179,83.9,8.0
Lakeridge Health - Oshawa,Central,Large Community,202603,LOS_HIGH_URGENCY,7.46,1821,87.5,8.0
Niagara Health - St. Catharines,West,Large Community,2025-08-01,LOS_HIGH_URGENCY,5.84,1475,95.0,8.0
St Michaels Hospital,Toronto,Teaching,1/2025,LOS_HIGH_URGENCY,8.29,2192,82.2,8.0
Scarborough General,Toronto,Large Community,5/2025,LOS_LOW_URGENCY,4.89,2809,73.7,4.0
WRH Ouellette,West,Large Community,2025-03-01,LOS_LOW_URGENCY,4.37,2916,81.4,4.0
Unity Health - St. Michael's,Toronto,Teaching,2024-11,LOS_ADMITTED,20.17,891,25.0,8.0
London Health Sciences Centre - Victoria,West,Teaching,2025-11-01,LOS_LOW_URGENCY,5.6,,62.7,4.0
Osler Brampton Civic,Central,Large Community,7/2026,WT_PHYS_ASSESS,2.05,4789,83.5,2.0
The Ottawa Hospital Civic,East,Teaching,10/2025,LOS_ADMITTED,16.41,744,27.7,8.0
KHSC,East,Teaching,5/2025,LOS_HIGH_URGENCY,7.34,1884,,8.0
LHSC Victoria,West,Teaching,2024-09-01,LOS_ADMITTED,15.59,1001,28.6,8.0
Lakeridge Oshawa,Central,Large Community,2025-04,LOS_LOW_URGENCY,5.66,2497,60.9,4.0
Health Sciences North,North,Teaching,2026-04-01,WT_PHYS_ASSESS,1.92,4458,85.2,2.0
Peterborough Regional,East,Large Community,202606,LOS_HIGH_URGENCY,6.45,2050,,8.0
London Health Sciences Centre - Victoria,West,Teaching,3/2025,WT_PHYS_ASSESS,2.16,5234,80.3,2.0
St. Michael's Hospital,Toronto,Teaching,9/2025,los_high_urgency,8.06,2311,79.5,8.0
Royal Victoria Regional Health Centre,Central,Large Community,202607,LOS_ADMITTED,13.42,996,43.3,8.0
Hamilton General,West,Teaching,2024-09-01,WT_PHYS_ASSESS,2.09,4102,81.8,2.0
St Michaels Hospital,Toronto,Teaching,2024-08,LOS_HIGH_URGENCY,7.49,1557,90.6,8.0
KHSC,East,Teaching,2024-08,LOS_LOW_URGENCY,4.95,2150,72.7,4.0
Peterborough Regional,East,Large Community,2026-04,LOS_HIGH_URGENCY,6.04,1533,95.0,8.0
Hamilton General,West,Teaching,4/2025,WT_PHYS_ASSESS,-1.0,4347,95.0,2.0
Markham Stouffville Hospital,Central,Large Community,11/2025,LOS_LOW_URGENCY,5.35,3486,63.2,4.0
Kingston General Hospital,East,Teaching,2025-09,WT_PHYS_ASSESS,1.83,5033,91.5,2.0
Osler Brampton Civic,Central,Large Community,2026-03,LOS_HIGH_URGENCY,7.27,2369,91.8,8.0
PRHC,East,Large Community,2024-09,LOS_LOW_URGENCY,4.11,3291,81.8,4.0
RVH Barrie,Central,Large Community,2025-01-01,LOS_ADMITTED,19.86,991,,8.0
Markham Stouffville Hospital,Central,Large Community,1/2026,LOS_HIGH_URGENCY,7.85,1962,88.3,8.0
UHN - Toronto General,Toronto,Teaching,2025-04,LOS_HIGH_URGENCY,6.77,1764,89.1,8.0
Hamilton Health Sciences - General,West,Teaching,7/2024,LOS_HIGH_URGENCY,5.8,2214,95.0,8.0
Markham Stouffville,Central,Large Community,202607,WT_PHYS_ASSESS,1.84,4667,85.2,2.0
SUNNYBROOK,Toronto,Teaching,202501,LOS_ADMITTED,16.5,1159,25.0,8.0
Sudbury Regional Hospital,North,Teaching,7/2025,LOS_LOW_URGENCY,6.0,3214,52.4,4.0
TOH Civic,East,Teaching,2025-11,WT_PHYS_ASSESS,2.1,4023,81.8,2.0
Health Sciences North,North,Teaching,2024-10-01,LOS_LOW_URGENCY,5.21,2551,65.9,4.0
Kingston Health Sciences Centre,East,Teaching,202412,LOS_ADMITTED,19.07,1255,25.0,8.0
Scarborough Health Network - General,Toronto,Large Community,202409,WT_PHYS_ASSESS,2.45,4970,69.0,2.0
TORONTO GENERAL,Toronto,Teaching,2026-05,LOS_HIGH_URGENCY,8.96,1873,76.3,8.0
Hamilton Health Sciences - General,West,Teaching,2025-03-01,WT_PHYS_ASSESS,1.85,4451,91.4,2.0
Oak Valley Health - Markham,Central,Large Community,3/2026,LOS_LOW_URGENCY,5.5,3276,62.9,4.0
Markham Stouffville,Central,Large Community,2024-11,LOS_HIGH_URGENCY,6.56,1586,95.0,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2/2025,LOS_LOW_URGENCY,4.93,2833,69.2,4.0
SUNNYBROOK,Toronto,Teaching,2025-01,LOS_HIGH_URGENCY,10.32,2610,69.0,8.0
Grand River Hospital,West,Large Community,2025-05-01,WT_PHYS_ASSESS,1.82,4756,86.0,2.0
Health Sciences North,North,Teaching,202407,LOS_LOW_URGENCY,4.7,3064,76.8,4.0
Brampton Civic Hospital,Central,Large Community,2024-08,LOS_LOW_URGENCY,5.66,3094,62.8,4.0
TOH Civic,East,Teaching,2025-03-01,WT_PHYS_ASSESS,,3531,85.0,2.0
Niagara Health - St. Catharines,West,Large Community,2025-07,LOS_HIGH_URGENCY,5.34,1682,95.0,8.0
HSN Sudbury,North,Teaching,2025-10,WT_PHYS_ASSESS,2.4,4003,76.2,2.0
North York General Hospital,Toronto,Large Community,202602,LOS_HIGH_URGENCY,6.95,2609,89.5,8.0
Grand River Hosp,West,Large Community,202605,LOS_HIGH_URGENCY,5.65,2232,95.0,8.0
St. Michael's Hospital,TORONTO,Teaching,11/2025,LOS_ADMITTED,18.36,882,25.0,8.0
St. Michael's Hospital,Toronto,Teaching,2025-05,LOS_HIGH_URGENCY,6.77,2372,95.0,8.0
London Health Sciences Centre - Victoria,West,Teaching,9/2025,LOS_ADMITTED,13.74,848,47.8,8.0
Lakeridge Oshawa,Central,Large Community,2025-06,LOS_LOW_URGENCY,5.73,2385,59.0,4.0
Lakeridge Health - Oshawa,Central,Large Community,2026-02-01,LOS_HIGH_URGENCY,7.71,1939,83.0,8.0
GRH Kitchener,West,Large Community,202411,LOS_ADMITTED,15.34,760,29.8,8.0
Oshawa General,Central,Large Community,8/2025,LOS_ADMITTED,16.32,870,25.0,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,2025-02-01,LOS_ADMITTED,19.42,861,25.0,8.0
Brampton Civic Hospital,Central,Large Community,4/2026,LOS_ADMITTED,15.55,926,31.9,8.0
Sunnybrook HSC,Toronto,Teaching,2026-06,LOS_ADMITTED,15.26,950,30.7,8.0
Hamilton Health Sciences - General,West,Teaching,2026-04,WT_PHYS_ASSESS,2.12,3777,77.9,2.0
London Victoria Hospital,WEST,Teaching,2025-11,WT_PHYS_ASSESS,2.51,3409,73.0,2.0
Hamilton Health Sciences - General,West,Teaching,2025-04,LOS_ADMITTED,17.82,938,25.0,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,202507,LOS_ADMITTED,12.45,754,52.7,8.0
Peterborough Regional Health Centre,East,Large Community,2026-06,LOS_LOW_URGENCY,,,70.8,4.0
Niagara Health - St. Catharines,West,Large Community,2026-06-01,WT_PHYS_ASSESS,1.84,4076,90.7,2.0
Royal Victoria Regional Health Centre,Central,Large Community,202604,LOS_LOW_URGENCY,5.54,2592,59.2,4.0
Sunnybrook HSC,Toronto,Teaching,2025-06,LOS_ADMITTED,14.98,904,32.7,8.0
Hamilton General,West,Teaching,2026-01-01,LOS_LOW_URGENCY,5.05,3620,69.3,4.0
Kingston General Hospital,East,Teaching,2025-04,LOS_ADMITTED,16.94,969,25.0,8.0
Thunder Bay Regional,North,Teaching,202507,LOS_LOW_URGENCY,5.72,3219,60.6,4.0
RVH Barrie,Central,Large Community,2026-02,LOS_LOW_URGENCY,5.49,2600,63.0,4.0
HSN Sudbury,North,Teaching,2024-09-01,LOS_LOW_URGENCY,5.16,3188,65.5,4.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,2026-01-01,WT_PHYS_ASSESS,2.79,5811,60.5,2.0
North York General,Toronto,Large Community,202503,LOS_ADMITTED,15.87,1043,30.4,8.0
Niagara Health SCS,West,Large Community,2026-07-01,WT_PHYS_ASSESS,2.09,4122,83.1,2.0
TOH Civic,East,Teaching,9/2025,LOS_ADMITTED,16.39,790,25.0,8.0
The Ottawa Hospital Civic,East,Teaching,9/2025,LOS_LOW_URGENCY,5.5,3013,61.9,4.0
TORONTO GENERAL,Toronto,Teaching,2025-12,wt_phys_assess,3.0,5143,59.0,2.0
THP Mississauga,Central,Large Community,2025-05-01,LOS_HIGH_URGENCY,6.21,1558,95.0,8.0
Toronto General Hosp.,Toronto,Teaching,2/2026,LOS_ADMITTED,20.85,1250,25.0,8.0
The Ottawa Hospital Civic,East,Teaching,6/2026,WT_PHYS_ASSESS,1.86,4566,,2.0
St Michaels Hospital,Toronto,Teaching,2025-12,WT_PHYS_ASSESS,3.05,5579,58.5,2.0
St Michaels Hospital,Toronto,Teaching,202606,LOS_HIGH_URGENCY,6.71,1769,94.8,8.0
Toronto General Hospital,Toronto,Teaching,2024-07-01,LOS_ADMITTED,15.27,925,29.9,8.0
HSN Sudbury,North,Teaching,2026-05-01,WT_PHYS_ASSESS,2.43,5075,69.7,2.0
GRH Kitchener,West,Large Community,8/2025,WT_PHYS_ASSESS,1.67,4651,92.7,2.0
Oak Valley Health - Markham,Central,Large Community,202606,WT_PHYS_ASSESS,2.37,4759,74.5,2.0
Oak Valley Health - Markham,Central,Large Community,202407,LOS_LOW_URGENCY,5.22,2168,63.7,4.0
Windsor Regional Hospital - Ouellette,West,Large Community,202604,LOS_HIGH_URGENCY,7.15,2068,85.9,8.0
William Osler Health System - Brampton Civic,Central,Large Community,5/2026,LOS_ADMITTED,15.95,819,27.0,8.0
SUNNYBROOK,Toronto,Teaching,2024-08,LOS_LOW_URGENCY,5.66,3075,58.2,4.0
Peterborough Regional Health Centre,East,Large Community,202507,los_low_urgency,4.87,2628,70.7,4.0
LHSC Victoria,West,Teaching,2025-02,LOS_HIGH_URGENCY,6.98,2348,91.0,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,202603,LOS_ADMITTED,13.19,994,49.6,8.0
SUNNYBROOK,Toronto,Teaching,2025-09,LOS_LOW_URGENCY,-1.0,3145,95.0,4.0
St Michaels Hospital,Toronto,Teaching,202503,LOS_ADMITTED,16.56,1018,25.0,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2026-04-01,WT_PHYS_ASSESS,2.03,4554,81.6,2.0
St. Michael's Hospital,Toronto,Teaching,202407,LOS_HIGH_URGENCY,8.13,,80.3,8.0
North York General,Toronto,Large Community,7/2024,LOS_HIGH_URGENCY,6.52,2159,93.6,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2026-01,LOS_LOW_URGENCY,5.62,3283,58.3,4.0
Markham Stouffville,Central,Large Community,202508,LOS_LOW_URGENCY,4.61,2204,74.4,4.0
Lakeridge Oshawa,Central,Large Community,2/2025,LOS_HIGH_URGENCY,7.43,1972,90.4,8.0
Lakeridge Health - Oshawa,Central,Large Community,11/2024,los_low_urgency,5.94,3071,53.5,4.0
Markham Stouffville,Central,Large Community,2024-08-01,LOS_LOW_URGENCY,5.7,2603,58.6,4.0
TBRHSC,North,Teaching,2026-07,WT_PHYS_ASSESS,1.96,4859,81.2,2.0
The Ottawa Hospital Civic,East,Teaching,2026-01,LOS_HIGH_URGENCY,8.55,2476,76.6,8.0
UHN - Toronto General,Toronto,Teaching,2025-02-01,LOS_HIGH_URGENCY,9.73,2120,69.6%,8.0
LHSC Victoria,West,Teaching,202408,WT_PHYS_ASSESS,1.81,3290,86.3,2.0
NYGH,Toronto,Large Community,7/2024,WT_PHYS_ASSESS,2.1,3940,81.7,2.0
Thunder Bay Regional,North,Teaching,202606,LOS_HIGH_URGENCY,7.06,2097,90.3,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2025-12,LOS_LOW_URGENCY,5.33,2909,61.5,4.0
Brampton Civic Hospital,Central,Large Community,2026-07-01,LOS_ADMITTED,14.61,823,35.9,8.0
Brampton Civic Hospital,Central,Large Community,10/2025,WT_PHYS_ASSESS,1.87,3505,89.4,2.0
TOH Civic,East,Teaching,7/2024,WT_PHYS_ASSESS,2.4,4530,68.5,2.0
St Michaels Hospital,Toronto,Teaching,2024-11-01,WT_PHYS_ASSESS,2.54,4941,64.6,2.0
Unity Health - St. Michael's,Toronto,Teaching,3/2025,WT_PHYS_ASSESS,2.08,4064,85.0,2.0
TOH Civic,East,Teaching,5/2025,LOS_HIGH_URGENCY,7.71,2075,84.9,8.0
Oshawa General,Central,Large Community,2024-07-01,LOS_LOW_URGENCY,4.61,2353,77.7,4.0
Mississauga Hospital,Central,Large Community,2026-05,LOS_HIGH_URGENCY,7.81,1963,88.8,8.0
Royal Victoria Barrie,Central,Large Community,2025-07,WT_PHYS_ASSESS,,4787,85.9,2.0
LHSC Victoria,West,Teaching,3/2025,LOS_HIGH_URGENCY,6.93,2009,90.9,8.0
Lakeridge Health - Oshawa,Central,Large Community,2025-04-01,LOS_ADMITTED,13.83,749,41.8,8.0
The Ottawa Hospital Civic,East,Teaching,2026-06-01,LOS_LOW_URGENCY,4.98,3317,66.2,4.0
Scarborough General,Toronto,Large Community,2025-04,WT_PHYS_ASSESS,2.61,4980,64.2,2.0
UHN - Toronto General,Toronto,Teaching,2026-04-01,WT_PHYS_ASSESS,2.52,3400,65.9,2.0
Hamilton Health Sciences - General,West,Teaching,202509,LOS_ADMITTED,17.08,887,25.0,8.0
SUNNYBROOK,Toronto,Teaching,2025-10,LOS_HIGH_URGENCY,8.04,1952,82.7,8.0
KHSC,East,Teaching,2024-12,LOS_LOW_URGENCY,6.6,2511,47.3,4.0
London Victoria Hospital,West,Teaching,1/2026,WT_PHYS_ASSESS,2.21,4595,79.5,2.0
